35451782,Found arrays with inconsistent numbers of samples: [  1 343]>>>
65010536,len() of unsized object
65033069,Dataset with data_id 554 not found.
49891820,expected string or buffer
47799305,Array must be symmetric
53757691,"no supported conversion for types: (dtype('O'),)"
53757691,"no supported conversion for types: (dtype('float64'), dtype('O'))"
26107930,log
64614449,This LabelEncoder instance is not fitted yet. Call 'fit' with appropriate arguments before using this method.
60816279,X has 1433445 features per sample; expecting 3797015
63428743,unsupported operand type(s) for /: 'str' and 'int'
41714947,Found array with dim 4. Estimator expected <= 2.
64656728,unhashable type: 'Index'
64656728,dimension mismatch
49540162,Length of values does not match length of index
54001299,"Expected 2D array, got 1D array instead:"
31428581,
28801810,'str' object has no attribute 'read'
45698951,maximum recursion depth exceeded in comparison
44523492,<type 'numpy.unicode_'>`
51776145,0
48819346,cublas library not found
57622988,"For a sparse output, all columns should be a numeric or convertible to a numeric."
28921807,target not found
57481712,X has 23 features per sample; expecting 24
62186418,'KMeans' object has no attribute '_n_threads'
52002607,"warm_start can only be used where `y` has the same classes as in the previous call to fit. Previously got [0 1], `y` has [1]"
58495721,'XGBRegressor' object has no attribute 'evals_result_'
49238160,arrays used as indices must be of integer (or boolean) type
59133039,Input contains NaN\
42427463,"Expected sequence or array-like, got estimator     Its  official  US  President  Barack  Obama  wants  lawmakers  weigh  \"
56174456,"A sparse matrix was passed, but dense data is required. Use X.toarray() to convert to a dense numpy array."
56174456,query data dimension must match training data dimension
61562247,"Expected 2D array, got 1D array instead:"
36245192,
48646202,invalid literal for float(): 72%
48646202,"Found input variables with inconsistent numbers of samples: [1346, 449]"
56799651,fit() got an unexpected keyword argument 'max_features'
48463883,No module named '_pywrap_tensorflow_internal'
61641852,<class 'sqlalchemy.sql.elements.quoted_name'>
46834013,Axis must be specified when shapes of a and weights differ.
45694799,min_faces_per_person=70 is too restrictive
38931631,Invalid parameter solver for estimator LogisticRegression
55562121,object of type 'CategoricalDtype' has no len()
62498093,cannot import name '_ccallback_c' from 'scipy._lib' (C:\Program Files\Python\lib\site-packages\scipy\_lib\__init__.py)
58457929,digraph {
63742494,'ExtraTreesClassifier' object has no attribute 'estimators_'
61415039,"Input contains NaN, infinity or a value too large for dtype('float64')."
30144901,'NoneType' object has no attribute 'tree_'
56247636,setting an array element with a sequence.
35304681,'DataFrame' object has no attribute 'todense'
35304681,indices are out-of-bounds
62071283,in user code:
50184534,can't pickle _thread.RLock objects
50184534,can't pickle _thread.RLock objects
21639685,"Argument 'X' has incorrect type (expected numpy.ndarray, got csr_matrix)"
53920226,'list' object has no attribute 'lower'
56377141,f1_score() got an unexpected keyword argument 'average'
60278581,[WinError 2] The system cannot find the file specified
49025207,"Unknown label type: (array([0.55, 0.84, 0.72, 0.54, 0.59, 0.77, 0.85, 1.03, 1.62, 3.04, 3.6 ]),)"
61878551,name 'store_reg_pickle' is not defined
56309692,"Input contains NaN, infinity or a value too large for dtype('float32')."
50030751,setting an array element with a sequence.
33038367,X has 2 features per sample; expecting 12
54980098,x is neither increasing nor decreasing : [1 1 1 ... 1 1 1].
37780139,"The classifier does not expose ""coef_"" or ""feature_importances_"" attributes"
37623259,Traceback (most recent call last):
63478798,No module named 'sklearn.utils'
42827885,"Found input variables with inconsistent numbers of samples: [75, 1]"
63495145,Classes different from first n integers are not supported in SVC converter.
57380948,X has 2 features per sample; expecting 11
51154180,"Expected n_neighbors <= n_samples,  but n_samples = 1, n_neighbors = 11"
51154180,"Expected n_neighbors <= n_samples,  but n_samples = 1, n_neighbors = 11"
55690164,Number of priors must match number of classes.
39634375,setting an array element with a sequence.
43792132,arrays used as indices must be of integer (or boolean) type
44461127,X has 6 features per sample; expecting 10000
44599057,cannot import name 'NUMPY_MKL'
50614069,array must not contain infs or NaNs
43513966,"X.shape[1] = 26112 should be equal to 35456, the number of features at training time"
32734949,Can't get attribute 'DummyTransformer' on <module '__main__' (built-in)>
36028905,"numpy.dtype has the wrong size, try recompiling"
33771255,"Input contains NaN, infinity or a value too large for dtype('float64')"
33771255,Unknown label type: 117456     0
52750930,I not found
51129498,
53028896,'numpy.ndarray' object is not callable
31306390,"bad input shape (3303, 2)"
49394654,'PreprocessPostDS' object is not iterable
58248437,'NoneType' object is not callable
